ADRD_term,ADRD_tfidf,CTRL_term,CTRL_tfidf
bonner,52.37921924553273,optional,38.53183944498959
restraints,41.241109405965425,lumps,24.98548964011044
danilova,37.32771946233367,discontd,22.87827967046257
svetlana,37.02668946666969,basename,21.975189683470628
milieu,35.52153948834978,adt,21.072099696478684
nedervelt,35.52153948834978,raynaud,20.47003970515072
goc,27.09269960975831,preventive,18.964889726830815
hemisphere,25.587549631438403,moles,18.362829735502853
intracatheter,23.179309666126553,sunscreen,16.556649761518965
mohamad,21.674159687806647,mammo,15.954589770191003
bhandari,20.771069700814703,alopecia,15.653559774527022
layering,20.47003970515072,papule,15.653559774527022
crrt,19.86797971382276,tbse,15.05149978319906
surendar,19.265919722494797,mgs,15.05149978319906
mebrahtom,18.964889726830815,mounjaro,15.05149978319906
tesfai,18.964889726830815,srt,14.449439791871097
esbl,18.964889726830815,dislocations,14.449439791871097
magdalena,18.964889726830815,db,14.148409796207117
maddalithirumala,18.663859731166834,evolocumab,14.148409796207117
shrinivasa,18.663859731166834,dispensing,14.148409796207117
charyalu,18.663859731166834,scleroderma,14.148409796207117
carrasco,18.663859731166834,scribed,13.546349804879155
zamorano,18.06179973983887,eac,12.944289813551192
sergio,17.76076974417489,carneiro,12.64325981788721
appended,17.76076974417489,onufer,12.64325981788721
phasic,17.76076974417489,victoza,12.34222982222323
paloma,16.857679757182947,toenails,12.34222982222323
peralta,16.857679757182947,caremark,12.34222982222323
kulyak,15.954589770191003,lentigines,12.041199826559248
josefina,15.35252977886304,hpv,12.041199826559248
briand,15.05149978319906,init,11.740169830895267
mncd,15.05149978319906,dexilant,11.740169830895267
perihilar,14.750469787535078,photoprotection,11.439139835231286
kylie,14.750469787535078,dipstick,11.439139835231286
hypovolemia,14.449439791871097,telangiectasias,11.439139835231286
hypovolemic,14.449439791871097,perron,11.439139835231286
dignity,14.148409796207117,daley,11.439139835231286
donato,14.148409796207117,macule,11.138109839567305
mclellan,14.148409796207117,spf,11.138109839567305
hildebrand,13.847379800543136,onychomycosis,10.837079843903323
eduardo,13.546349804879155,wrenzie,10.837079843903323
espinal,13.546349804879155,medco,10.837079843903323
globes,13.245319809215173,awv,10.536049848239342
lewy,13.245319809215173,audiogram,10.536049848239342
peritonitis,13.245319809215173,mlmrightleft,10.536049848239342
gip,12.64325981788721,estrogens,10.23501985257536
intraparenchymal,12.64325981788721,shipping,10.23501985257536
shady,12.64325981788721,toenail,9.93398985691138
sandpiper,12.34222982222323,oneill,9.93398985691138
albana,12.34222982222323,delaney,9.93398985691138
bsw,12.041199826559248,technicare,9.632959861247398
sundowning,12.041199826559248,otitis,9.632959861247398
yuriy,12.041199826559248,lentigenes,9.632959861247398
sulcal,12.041199826559248,esu,9.331929865583417
hypercapnic,12.041199826559248,auscultated,9.331929865583417
micaela,12.041199826559248,aks,9.331929865583417
uremia,11.740169830895267,impingement,9.331929865583417
lifeguard,11.740169830895267,diary,9.331929865583417
unstageable,11.740169830895267,ovary,9.331929865583417
eberly,11.740169830895267,cryo,9.331929865583417
nonbehavioral,11.439139835231286,fef,9.331929865583417
nonviolent,11.439139835231286,gaps,9.331929865583417
tpn,11.439139835231286,vabysmo,9.331929865583417
debility,11.439139835231286,sij,9.030899869919436
mcgrath,11.439139835231286,conjugated,9.030899869919436
diamonita,11.439139835231286,gammagard,9.030899869919436
frontoparietal,11.138109839567305,caries,8.729869874255455
juneja,11.138109839567305,minocycline,8.729869874255455
pps,11.138109839567305,habib,8.729869874255455
aamir,10.837079843903323,laxity,8.729869874255455
hasan,10.837079843903323,myasthenia,8.729869874255455
pines,10.837079843903323,em,8.428839878591473
incr,10.536049848239342,xeljanz,8.428839878591473
cardene,10.536049848239342,efudex,8.428839878591473
eyad,10.536049848239342,corns,8.428839878591473
encephalopathic,10.536049848239342,homan,8.428839878591473
voluntarily,10.536049848239342,dermoscopy,8.428839878591473
nazer,10.23501985257536,triggering,8.428839878591473
redirectable,10.23501985257536,instructor,8.428839878591473
daralyn,10.23501985257536,ophthalmologist,8.428839878591473
merrem,10.23501985257536,galloway,8.127809882927492
repositioned,9.93398985691138,lockett,8.127809882927492
rindy,9.93398985691138,tinel,8.127809882927492
midlung,9.93398985691138,rb,8.127809882927492
talkative,9.93398985691138,greschel,8.127809882927492
husam,9.632959861247398,periodontal,7.826779887263511
stabilizing,9.632959861247398,sicca,7.826779887263511
denney,9.632959861247398,pigmented,7.826779887263511
transformation,9.331929865583417,vegf,7.826779887263511
ramzy,9.331929865583417,headneck,7.826779887263511
microhemorrhages,9.331929865583417,abcdes,7.826779887263511
interictal,9.331929865583417,soleus,7.826779887263511
bedbound,9.331929865583417,rubano,7.826779887263511
belabbes,9.331929865583417,farmer,7.826779887263511
wandering,9.331929865583417,cryoablation,7.826779887263511
unwitnessed,9.331929865583417,glycated,7.826779887263511
vacuo,9.030899869919436,reclast,7.826779887263511
violent,9.030899869919436,neill,7.826779887263511
hicuity,9.030899869919436,gravis,7.826779887263511
opens,8.729869874255455,mccall,7.826779887263511
