n,n_pos,n_neg,tp,tn,fp,fn,accuracy,sensitivity,specificity,precision,npv,f1,ppr,auc,auc_ci_lower,auc_ci_upper,subgroup,category,category_short,gender,race
1460,657,803,639,737,66,18,0.9424657534246575,0.9726027397260274,0.9178082191780822,0.9063829787234042,0.976158940397351,0.9383259911894273,0.4828767123287671,0.9866927863737772,0.9817918579949374,0.9915937147526168,Overall,All,All,NA,NA
632,281,351,269,327,24,12,0.9430379746835443,0.9572953736654805,0.9316239316239316,0.9180887372013652,0.9646017699115044,0.9372822299651568,0.46360759493670883,0.9874836511847188,0.9812389049698579,0.9937283973995795,Gender,Male,Male,NA,NA
828,376,452,370,410,42,6,0.9420289855072463,0.9840425531914894,0.9070796460176991,0.8980582524271845,0.9855769230769231,0.9390862944162437,0.4975845410628019,0.9867433157597439,0.9797343026504177,0.9937523288690702,Gender,Female,Female,NA,NA
1013,406,607,394,555,52,12,0.9368213228035538,0.9704433497536946,0.914332784184514,0.8834080717488789,0.9788359788359788,0.9248826291079812,0.44027640671273444,0.9854671687455872,0.9792872890209875,0.991647048470187,Race,White,White,NA,NA
407,230,177,225,165,12,5,0.9582309582309583,0.9782608695652174,0.9322033898305084,0.9493670886075949,0.9705882352941176,0.9635974304068522,0.5823095823095823,0.989253254728568,0.9800572416382641,0.9984492678188718,Race,Black,Black,NA,NA
21,10,11,9,9,2,1,0.8571428571428571,0.9,0.8181818181818182,0.8181818181818182,0.9,0.8571428571428572,0.5238095238095238,0.9727272727272728,0.9188137441292674,1,Race,Other,Other,NA,NA
10,3,7,3,7,0,0,1,1,1,1,1,1,0.3,1,1,1,Race,Asian,Asian,NA,NA
1441,650,791,632,725,66,18,0.9417071478140181,0.9723076923076923,0.9165613147914032,0.9054441260744985,0.9757738896366084,0.9376854599406529,0.48438584316446914,0.986414470485267,0.9814242607689089,0.9914046802016249,Ethnicity,Non-Hispanic,Non-Hispanic,NA,NA
14,5,9,5,9,0,0,1,1,1,1,1,1,0.35714285714285715,1,1,1,Ethnicity,Hispanic,Hispanic,NA,NA
546,226,320,222,287,33,4,0.9322344322344323,0.9823008849557522,0.896875,0.8705882352941177,0.9862542955326461,0.923076923076923,0.46703296703296704,0.983939435840708,0.9743260159397474,0.9935528557416687,Gender × Race,Female × White,Female × White,Female,White
467,180,287,172,268,19,8,0.9421841541755889,0.9555555555555556,0.9337979094076655,0.900523560209424,0.9710144927536232,0.9272237196765499,0.4089935760171306,0.9879887727448703,0.981294858604851,0.9946826868848898,Gender × Race,Male × White,Male × White,Male,White
260,137,123,135,114,9,2,0.9576923076923077,0.9854014598540146,0.926829268292683,0.9375,0.9827586206896551,0.9608540925266904,0.5538461538461539,0.9912764821078868,0.9810235334845515,1,Gender × Race,Female × Black,Female × Black,Female,Black
147,93,54,90,51,3,3,0.9591836734693877,0.967741935483871,0.9444444444444444,0.967741935483871,0.9444444444444444,0.967741935483871,0.6326530612244898,0.9852648347272003,0.9635264625788023,1,Gender × Race,Male × Black,Male × Black,Male,Black
